Profundidade (m),Vazão (L/h),Fraturas (m),Resíduo Seco (mg/L),Lab,Análise,Latitude,Longitude
,nan,,nan,,,"06°26'14.1""","36°38'44.8"""
,nan,,nan,,,"06°28'30.7""","36°41'42.8"""
,nan,,nan,,,"06°26'43.8""","36°38'25.7"""
,nan,,nan,,,"06°25'53.0""","36°38'24.0"""
,nan,,nan,,,"06°21'33.0""","36°33'44.4"""
,nan,,nan,,,"06°19'34.8""","36°35'26.2"""
,nan,,nan,,,"06°20'50.6""","36°44'47.1"""
,nan,,nan,,,"06°26'14.1""","36°38'44.8"""
,nan,,nan,,,"06°21'47.9""","36°41'51.9"""
,nan,,nan,,,"06°31'19.7""","36°40'54.9"""
,nan,,nan,,,"06°27'18.6""","36°44'18.6"""
,nan,,nan,,,"06°29'30.1""","36°43'27.5"""
,nan,,nan,,,"06°24'50.0""","36°39'25.2"""
,nan,,nan,,,"06°21'13.1""","36°35'48.2"""
,nan,,nan,,,"06°27'23.3""","36°41'25.5"""
,nan,,nan,,,"06°03'08.2""","35°53'08.6"""
,nan,,nan,,,"06°23'55.2""","36°10'08.3"""
,nan,,nan,,,"06°23'55.2""","36°10'08.3"""
40,nan,30.5,nan,,,nan,nan
,nan,,nan,,,"06°15'00.7""","36°31'24.3"""
,nan,,nan,,,"06°16'18.4""","36°31'31.3"""
,nan,,nan,,,"06°15'32.4""","36°30'25.4"""
,nan,,nan,,,"06°15'32.4""","36°30'25.4"""
,nan,,nan,,,"06°15'41.9""","36°31'27.2"""
,nan,,nan,,,"06°15'14.4""","36°31'18.9"""
,nan,,nan,,,"06°17'35.0""","36°31'23.6"""
,nan,,nan,,,"06°17'03.6""","36°30'40.7"""
,nan,,nan,,,"06°56'59.5""","36°43'36.1"""
,nan,,nan,,,"06°51'05.7""","36°39'41.6"""
,nan,,nan,,,"06°50'24.6""","36°40'13.5"""
,nan,,nan,,,"06°55'48.7""","36°42'08.1"""
,nan,,nan,,,"06°18'42.5""","37°17'43.7"""
,nan,,nan,,,"06°37'06.9""","36°42'12.9"""
63.90,416,35.0,7075.60,LABDES,500/2013,"06°24'21.1""","35°37'40.5"""
52.80,4500,32.0,5232.10,LABDES,491/2013,"06°23'54.0""","35°38'29.1"""
,nan,,nan,,,"06°24'15.3""","35°38'28.2"""
47,1500,28.5,694,LABDES,97/2011,"06°12'18.1""","35°27'32.7"""
41,3789,20.666666666666668,784.9,LABDES,106/2011,"06°11'53.1""","35°24'22.7"""
,nan,,nan,,,"06°39'25.2""","36°52'12.2"""
,nan,,nan,,,"06°40'20.2""",36°51'39.8
51.2,7200,,1110.70,LABDES,340/2011,"06°39'11.5""","36°38'43.9"""
,nan,,nan,,,"06°27'59.9""","35°12'00.1"""
,nan,,nan,,,"06°27'56.9""","35°12'03.9"""
49.80,3130,37.0,3775.40,LABDES,208/2012,"06°13'26.8""","35°35'49.8"""
,nan,,nan,,,"06°13'07.90""","35°36'22.10"""
,nan,,nan,,,"06°15'07.80""","35°34'48.80"""
,nan,,nan,,,"08°48'56.8""","35°10'34.2"""
,nan,,nan,,,"08°48'50.2""","35°10'38.1"""
,nan,,nan,,,"08°48'42.3""","35°10'20.2"""
,nan,,nan,,,"08°48'38.8""","35°10'18.0"""
51.60,1043,,4283.80,LABDES,07./2012,"08°20'28.0""","36°28'06.3"""
51,seco,0,-,,,"08°19'37.6""","36°28'57.9"""
51,2250,,nan,,,"07°58'36.5""","36°07'47.1"""
51,800,16,6277.20,LABDES,29/2012,"08°06'46.7""","36°12'46.0"""
51.40,685,17,5013.00,LABDES,28/2012,"08°06'58.4""","36°12'27.2"""
,nan,,nan,,,"08°06'29.4""","36°12'09.1"""
51.40,496,36,837.3,LABDES,296/2012,"08°08'00.4""","36°23'50.7"""
,nan,,nan,,,"08°09'05.8""","36°22'15.0"""
52,0,0,-,,,"07°58'25.4""","36°08'26.9"""
,nan,,nan,,,"08°08'28.9""","36°22'23.6"""
66,seco,0,-,,,"08°06'11.4""","36°25'31.6"""
52.60,411,27,779.8,LABDES,297/2013,"08°06'40.9""","36°25'29.7"""
,nan,,nan,,,"08°05'58.2""","36°25'23.0"""
49,620,40.5,4276.10,LABDES,18/2011,"07°58'28.4""","37°07'49.6"""
51.60,800,31.5,4869.50,LABDES,17/2011,"07°58'38.4""","37°07'49.5"""
,nan,,nan,,,"08°02'58.9""","36°17'20.8"""
49,seco,0,-,,,"08°08'35.3""","36°22'49.5"""
51,827,15,nan,,,"08°06'13.3""","36°22'38.8"""
49,6000,23.5,1469.30,LABDES,294/2013,"08°09'41.9""","36°22'00.5"""
50,seco,0,-,,,"08°09'08.9""","36°22'13.5"""
,nan,,nan,,,"08°10'45.7""","36°22'41.1"""
,nan,,nan,,,"08°08'05.4""","36°20'01.3"""
54,seco,26,-,,,"08°08'03.7""","36°18'17.7"""
52,seco,8,-,,,"08°08'20.8""","36°17'24.2"""
66,380,51,2599.50,,,"08°19'52.4""","36°01'29.6"""
51,seco,11,-,,,"08°16'02.3""","36°03'04.7"""
41,98,11,3895.00,LABDES,358/2012,"08°17'55.0""","35°53'11.0"""
,nan,,nan,,,"08°02'23.9""","36°02'45.5"""
53.50,8000,20.0,800,,,"08°09'37.8""","36°08'22.7"""
49,110,20.0,-,,,"08°05'20.2""","36°02'51.6"""
,nan,,nan,,,"08°22'14.3""","35°52'44.2"""
,nan,,nan,,,"08°12'57.8""","35°27'27.1"""
51.50,211,17,476.9,LABDES,267/2012,"08°09'09.0""","37°24'00.3"""
51.70,263 m,-,4046.10,LABDES,122/2013,"07°28'58.2""","35°15'28.8"""
,nan,14.333333333333334,nan,,,"07°55'19.8""","35°55'19.8"""
58,seco,-,-,,,"07°58'58.6""","35°52'50.2"""
,nan,,nan,,,"07°56'43.9""","35°56'03.2"""
52,seco,-,-,,,"07°56'54.1""","35°56'35.3"""
,nan,,nan,,,"07°56'33.2""","35°55'10.6"""
,nan,,nan,,,"07°57'13.4""","35°54'34.6"""
,seco,,nan,,,"07°56'53.4""","35°53'53.8"""
,nan,,nan,,,"07°57'15.5""","35°54'39.7"""
,nan,,nan,,,"07°57'26.1""","35°54'48.6"""
53,nan,,nan,,,"07°24'12.9""","37°03'55.5"""
48.6,9000,15.0,284.3,LABDES,229/2012,"07°39'51.6""","35°01'28.5"""
,nan,,nan,,,"08°02'58.9""","36°17'20.8"""
,nan,,nan,,,"07°59'15.3""","36°34'38.5"""
,nan,,nan,,,"07°58'57.9""","36°30'18.7"""
56,533,27.5,887.2,LABDES,343/2014,"08°45'01.5""","36°26'02.2"""
,nan,,nan,,,"07°51'26.1""","35°21'38.5"""
,nan,,nan,,,"07°51'04.7""","35°21'49.5"""
,nan,,nan,,,"07°42'52.0""","35°38'21.2"""
,nan,,nan,,,"07°57'31.9""","35°35'37.2"""
,nan,,nan,,,"07°57'31.9""","35°35'37.2"""
,nan,,nan,,,"08°00'39.3""","35°55'20.3"""
,nan,,nan,,,"08°01'00.4""","35°54'47.6"""
48,5142,21.333333333333332,8767.30,LABDES,141/2011,"07°52'29.4""","36°22'29.8"""
51,255,12,4187.30,LABDES,239/2012,"08°13'56.1""","36°05'12.6"""
,nan,25,nan,,,"08°14'46.1""","36°09'05.6"""
,nan,,nan,,,"08°14'11.2""","36°10'30.2"""
,nan,,nan,,,"08°04'09.50""","37°17'53.10"""
55,seco,27,-,,,"07°55'04.3""","36°03'06.5"""
,nan,,nan,,,"07°57'39.3""","36°06'37.1"""
55.50,238,41.5,13038.70,LABDES,408/2012,"07°47'59.3""","36°05'24.6"""
53,4000,43.5,nan,,,nan,nan
44.60,9000,25.0,9634.80,LABDES,237/2012,"07°51'17.1""","36°01'42.0"""
50,seco,-,-,,,"07°58'08.2""","36°06'44.6"""
52.40,241,,108,,,"07°55'05.1""","36°02'05.1"""
,nan,,nan,,,"07°55'02.6""","36°04'13.1"""
60,seco,12,-,,,"07°47'51.2""","36°07'02.4"""
,nan,17.333333333333332,nan,,,"07°47'53.7""","36°10'45.7"""
,nan,9,nan,,,"07°57'02.7""","36°07'41.7"""
,nan,,nan,,,"07°56'43.9""","35°56'03.2"""
,nan,,nan,,,"07°48'30.2""","36°01'08.1"""
52.3,525,,5492,LABDES,414/2013,"07°53'13.0""","35°59'02.8"""
,nan,,nan,,,"07°58'22.9""","35°59'10.8"""
